"condition","title","phase","sponsor","sponsor_class"
"Depression/TRD","A Randomized, Open-label, Rater-Blinded, Active-Controlled, International, Multicenter Study to Evaluate the Efficacy, Safety, and Tolerability of Flexibly Dosed Esketamine Nasal Spray Compared With Quetiapine Extended-Release in Adult and Elderly Participants With Treatment-Resistant Major Depressive Disorder Who Are Continuing a Selective Serotonin Reuptake Inhibitor/Serotonin-Norepinephrine Reuptake Inhibitor","PHASE3","Janssen-Cilag International NV","INDUSTRY"
"Depression/TRD","Ketamine for Treatment Resistant Late-Life Depression","PHASE3","VA Office of Research and Development","FED"
"Depression/TRD","D-cycloserine for Relapse Prevention Following Intravenous Ketamine in Treatment-resistant Depression","PHASE4","Sheba Medical Center","OTHER_GOV"
"Depression/TRD","A Multicenter, Randomized, Double-Blind, Active Controlled, Comparative, Fixed-Dose, Dose Response Study of the Efficacy and Safety of BMS-820836 in Patients With Treatment Resistant Major Depression (TRD).","PHASE2","Bristol-Myers Squibb","INDUSTRY"
"Depression/TRD","An Open-Label Tolerance Study of Three Dosing Regimens of Dextromethorphan (DXM) Reportedly Used in Major Depressive Disorder","PHASE1","Johns Hopkins University","OTHER"
"Depression/TRD","Portable Transcranial Magnetic Stimulation (TMS) in a Van for Treatment-Resistant Depression","PHASE4","Medical University of South Carolina","OTHER"
"Depression/TRD","Pilot Study of Feasibility of the Effect of Treatment With tDCS in Patients Suffering From Resistant Depression","PHASE2","Centre Hospitalier Universitaire de Besancon","OTHER"
"Depression/TRD","An Interventional, Open-label, Single Arm, Multicenter Study to Evaluate the Efficacy and Safety of Esketamine Nasal Spray in Korean Participants With Treatment-Resistant Depression(TRD)","PHASE4","Janssen Korea, Ltd., Korea","INDUSTRY"
"Depression/TRD","Characterization of Comorbid Post-traumatic Stress Disorder and Major Depressive Disorder Utilizing Ketamine as an Experimental Medicine Probe","PHASE1","University of Minnesota","OTHER"
"Depression/TRD","Effects of Psilocybin With Psychological Support on Anhedonia in Treatment-resistant Depression: a Randomized Controlled Pilot Trial","PHASE2","University of Colorado, Denver","OTHER"
"Depression/TRD","5-hydroxytryptophan and Creatine for Treatment Resistant Depression Associated With Hypoxia in Females","PHASE4","Perry Renshaw","OTHER"
"Depression/TRD","A Three-phase Study Designed to Test the Efficacy, Tolerability and Safety of the Combination of Ziprasidone With Selective Serotonin Reuptake Inhibitors (SSRI) for Patients With Major Depressive Disorder (MDD) That do Not Sufficiently Respond to Treatment With SSRIs.","PHASE2","Massachusetts General Hospital","OTHER"
"Depression/TRD","A Clinical Trial to Evaluate the Safety and Efficacy of Fecal Microbiota Transplantation in a Population With Major Depressive Disorder","PHASE2","University of Calgary","OTHER"
"Depression/TRD","A Randomized, Double-blind, Multicenter, Active-Controlled Study of Intranasal Esketamine Plus an Oral Antidepressant for Relapse Prevention in Treatment-resistant Depression","PHASE3","Janssen Research & Development, LLC","INDUSTRY"
"Depression/TRD","Central Versus Peripheral GABA and Glutamate Biomarkers for Treatment Response During Two Infusions of Intravenous Ketamine for Treatment-Resistant Depression","EARLY_PHASE1","Mayo Clinic","OTHER"
"Depression/TRD","Clinical Trial of the Use of Ketamine in Treatment Resistant Depression","PHASE4","National Institute of Neurology and Neurosurgery, Mexico","OTHER"
"Depression/TRD","A Phase 2, Multicenter, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of NV-5138 in Adults With Treatment Resistant Depression","PHASE2","Navitor Pharmaceuticals, Inc.","INDUSTRY"
"Depression/TRD","A Randomised, Controlled Trial to Investigate the Effect of a Sixweek Intensified Pharmacological Treatment for Major Depressive Disorder Compared to Treatment as Usual in Subjects Who Had a First-time Treatment Failure on Their First-line Treatment.","PHASE3","Dr. Inge Winter","OTHER"
"Depression/TRD","Salicylic Augmentation in Depression","PHASE2","Jessica Harder","OTHER"
"Depression/TRD","Sequenced Treatment Alternatives to Relieve Depression","PHASE4","National Institute of Mental Health (NIMH)","NIH"
"Depression/TRD","Olanzapine Augmentation Therapy in Treatment-resistant Depression: a Double-blind Placebo-controlled Trial","PHASE3","University Hospital Freiburg","OTHER"
"Depression/TRD","Ketamine Plus Lithium as a Novel Pharmacotherapeutic Strategy in Treatment-Resistant Depression","PHASE2","Icahn School of Medicine at Mount Sinai","OTHER"
"Depression/TRD","A Study to Assess the Long-Term Efficacy and Safety of Olanzapine and Fluoxetine Combination Versus Fluoxetine Only in the Relapse Prevention of Stabilized Patients With Treatment-Resistant Depression","PHASE3","Eli Lilly and Company","INDUSTRY"
"Depression/TRD","A Naturalistic Study of Serial Infusion of Low-dose Ketamine for Treatment Resistant Depressive Disorders in an Academic Psychiatric Hospital: The UTHealth Ketamine Project","PHASE2","The University of Texas Health Science Center, Houston","OTHER"
"Depression/TRD","Ketamine Frequency Treatment for Major Depressive Disorder","PHASE4","Essentia Health","OTHER"
